date,store_nbr,transactions
2013-01-02,24,2605
2013-01-02,26,1008
2013-01-02,27,1386
2013-01-02,28,950
2013-01-02,30,708
2013-01-02,32,776
2013-01-02,34,2724
2013-01-02,35,786
2013-01-02,51,1985
2013-01-03,24,2462
2013-01-03,26,813
2013-01-03,27,928
2013-01-03,28,749
2013-01-03,30,689
2013-01-03,32,727
2013-01-03,34,2348
2013-01-03,35,725
2013-01-03,51,1644
2013-01-04,24,2607
2013-01-04,26,813
2013-01-04,27,1034
2013-01-04,28,651
2013-01-04,30,689
2013-01-04,32,680
2013-01-04,34,2369
2013-01-04,35,630
2013-01-04,51,1786
2013-01-05,24,2578
2013-01-05,26,1081
2013-01-05,27,1327
2013-01-05,28,1033
2013-01-05,30,749
2013-01-05,32,890
2013-01-05,34,2599
2013-01-05,35,723
2013-01-05,51,2068
2013-01-06,24,2061
2013-01-06,26,1075
2013-01-06,27,1614
2013-01-06,28,1207
2013-01-06,30,667
2013-01-06,32,772
2013-01-06,34,2377
2013-01-06,35,651
2013-01-06,51,1934
2013-01-07,24,2320
2013-01-07,26,792
2013-01-07,27,1093
2013-01-07,28,775
2013-01-07,30,663
2013-01-07,32,699
2013-01-07,34,2224
2013-01-07,35,568
2013-01-07,51,1637
2013-01-08,24,2349
2013-01-08,26,729
2013-01-08,27,999
2013-01-08,28,877
2013-01-08,30,701
2013-01-08,32,641
2013-01-08,34,2272
2013-01-08,35,555
2013-01-08,51,1613
2013-01-09,24,2354
2013-01-09,26,738
2013-01-09,27,1033
2013-01-09,28,645
2013-01-09,30,627
2013-01-09,32,591
2013-01-09,34,2101
2013-01-09,35,539
2013-01-09,51,1786
2013-01-10,24,2226
2013-01-10,26,710
2013-01-10,27,900
2013-01-10,28,700
2013-01-10,30,693
2013-01-10,32,603
2013-01-10,34,2079
2013-01-10,35,553
2013-01-10,51,1515
2013-01-11,24,2350
2013-01-11,26,725
2013-01-11,27,856
2013-01-11,28,618
2013-01-11,30,623
2013-01-11,32,641
2013-01-11,34,2407
2013-01-11,35,538
2013-01-11,51,1658
2013-01-12,24,2346
2013-01-12,26,907
2013-01-12,27,1330
2013-01-12,28,890
2013-01-12,30,702
2013-01-12,32,822
2013-01-12,34,2591
2013-01-12,35,750
2013-01-12,51,1873
2013-01-13,24,2001
2013-01-13,26,963
2013-01-13,27,1575
2013-01-13,28,1197
2013-01-13,30,686
2013-01-13,32,753
2013-01-13,34,2381
2013-01-13,35,657
2013-01-13,51,1808
2013-01-14,24,2341
2013-01-14,26,758
2013-01-14,27,1005
2013-01-14,28,754
2013-01-14,30,690
2013-01-14,32,644
2013-01-14,34,2246
2013-01-14,35,579
2013-01-14,51,1491
2013-01-15,24,2338
2013-01-15,26,787
2013-01-15,27,953
2013-01-15,28,846
2013-01-15,30,754
2013-01-15,32,683
2013-01-15,34,2285
2013-01-15,35,619
2013-01-15,51,1604
2013-01-16,24,2555
2013-01-16,26,786
2013-01-16,27,1070
2013-01-16,28,678
2013-01-16,30,678
2013-01-16,32,648
2013-01-16,34,2218
2013-01-16,35,597
2013-01-16,51,1852
2013-01-17,24,2557
2013-01-17,26,818
2013-01-17,27,1037
2013-01-17,28,820
2013-01-17,30,790
2013-01-17,32,726
2013-01-17,34,2315
2013-01-17,35,555
2013-01-17,51,1551
2013-01-18,24,2559
2013-01-18,26,822
2013-01-18,27,1034
2013-01-18,28,709
2013-01-18,30,696
2013-01-18,32,619
2013-01-18,34,2510
2013-01-18,35,519
2013-01-18,51,1796
2013-01-19,24,2487
2013-01-19,26,961
2013-01-19,27,1382
2013-01-19,28,996
2013-01-19,30,715
2013-01-19,32,770
2013-01-19,34,2695
2013-01-19,35,816
2013-01-19,51,1830
2013-01-20,24,1908
2013-01-20,26,986
2013-01-20,27,1515
2013-01-20,28,1179
2013-01-20,30,616
2013-01-20,32,801
2013-01-20,34,2324
2013-01-20,35,697
2013-01-20,51,1756
2013-01-21,24,2391
2013-01-21,26,730
2013-01-21,27,1018
2013-01-21,28,708
2013-01-21,30,692
2013-01-21,32,667
2013-01-21,34,2379
2013-01-21,35,509
2013-01-21,51,1548
2013-01-22,24,2293
2013-01-22,26,690
2013-01-22,27,969
2013-01-22,28,819
2013-01-22,30,752
2013-01-22,32,668
2013-01-22,34,2221
2013-01-22,35,627
2013-01-22,51,1489
2013-01-23,24,2501
2013-01-23,26,681
2013-01-23,27,1034
2013-01-23,28,674
2013-01-23,30,655
2013-01-23,32,565
2013-01-23,34,2071
2013-01-23,35,538
2013-01-23,51,1683
2013-01-24,24,2275
2013-01-24,26,660
2013-01-24,27,976
2013-01-24,28,701
2013-01-24,30,682
2013-01-24,32,680
2013-01-24,34,2043
2013-01-24,35,511
2013-01-24,51,1437
2013-01-25,24,2586
2013-01-25,26,694
2013-01-25,27,1003
2013-01-25,28,676
2013-01-25,30,711
2013-01-25,32,679
2013-01-25,34,2472
2013-01-25,35,584
2013-01-25,51,1709
2013-01-26,24,2358
2013-01-26,26,862
2013-01-26,27,1341
2013-01-26,28,963
2013-01-26,30,751
2013-01-26,32,867
2013-01-26,34,2715
2013-01-26,35,752
2013-01-26,51,1814
2013-01-27,24,1813
2013-01-27,26,890
2013-01-27,27,1534
2013-01-27,28,1131
2013-01-27,30,622
2013-01-27,32,702
2013-01-27,34,2381
2013-01-27,35,650
2013-01-27,51,1707
2013-01-28,24,2379
2013-01-28,26,702
2013-01-28,27,1052
2013-01-28,28,755
2013-01-28,30,680
2013-01-28,32,706
2013-01-28,34,2345
2013-01-28,35,627
2013-01-28,51,1522
2013-01-29,24,2261
2013-01-29,26,704
2013-01-29,27,931
2013-01-29,28,815
2013-01-29,30,763
2013-01-29,32,656
2013-01-29,34,2306
2013-01-29,35,542
2013-01-29,51,1438
2013-01-30,24,2480
2013-01-30,26,748
2013-01-30,27,1057
2013-01-30,28,710
2013-01-30,30,684
2013-01-30,32,575
2013-01-30,34,2042
2013-01-30,35,507
2013-01-30,51,1704
2013-01-31,24,2316
2013-01-31,26,776
2013-01-31,27,957
2013-01-31,28,823
2013-01-31,30,698
2013-01-31,32,720
2013-01-31,34,2258
2013-01-31,35,596
2013-01-31,51,1524
2013-02-01,24,2562
2013-02-01,26,894
2013-02-01,27,1051
2013-02-01,28,829
2013-02-01,30,714
2013-02-01,32,749
2013-02-01,34,2747
2013-02-01,35,757
2013-02-01,51,1880
2013-02-02,24,2758
2013-02-02,26,1322
2013-02-02,27,1453
2013-02-02,28,1079
2013-02-02,30,859
2013-02-02,32,960
2013-02-02,34,2877
2013-02-02,35,1019
2013-02-02,51,1942
2013-02-03,24,2019
2013-02-03,26,1171
2013-02-03,27,1604
2013-02-03,28,1241
2013-02-03,30,653
2013-02-03,32,812
2013-02-03,34,2593
2013-02-03,35,856
2013-02-03,51,1798
2013-02-04,24,2308
2013-02-04,26,707
2013-02-04,27,1074
2013-02-04,28,744
2013-02-04,30,663
2013-02-04,32,765
2013-02-04,34,2507
2013-02-04,35,749
2013-02-04,51,1545
2013-02-05,24,2425
2013-02-05,26,791
2013-02-05,27,978
2013-02-05,28,887
2013-02-05,30,722
2013-02-05,32,703
2013-02-05,34,2458
2013-02-05,35,636
2013-02-05,51,1551
2013-02-06,24,2532
2013-02-06,26,773
2013-02-06,27,1084
2013-02-06,28,699
2013-02-06,30,711
2013-02-06,32,616
2013-02-06,34,2375
2013-02-06,35,609
2013-02-06,51,1733
2013-02-07,24,2292
2013-02-07,26,697
2013-02-07,27,955
2013-02-07,28,776
2013-02-07,30,661
2013-02-07,32,689
2013-02-07,34,2579
2013-02-07,35,693
2013-02-07,51,1498
2013-02-08,24,2721
2013-02-08,26,805
2013-02-08,27,1031
2013-02-08,28,759
2013-02-08,30,736
2013-02-08,32,701
2013-02-08,34,2878
2013-02-08,35,891
2013-02-08,51,1836
2013-02-09,24,2460
2013-02-09,26,1057
2013-02-09,27,1382
2013-02-09,28,1132
2013-02-09,30,717
2013-02-09,32,904
2013-02-09,34,3181
2013-02-09,35,1347
2013-02-09,51,1853
2013-02-10,24,1519
2013-02-10,26,795
2013-02-10,27,1396
2013-02-10,28,985
2013-02-10,30,621
2013-02-10,32,709
2013-02-10,34,2418
2013-02-10,35,1676
2013-02-10,51,1297
2013-02-11,24,1456
2013-02-11,26,620
2013-02-11,27,1451
2013-02-11,28,866
2013-02-11,30,602
2013-02-11,32,653
2013-02-11,34,1690
2013-02-11,35,1352
2013-02-11,51,1178
2013-02-12,24,1677
2013-02-12,26,653
2013-02-12,27,1681
2013-02-12,28,1026
2013-02-12,30,671
2013-02-12,32,716
2013-02-12,34,1693
2013-02-12,35,848
2013-02-12,51,1533
2013-02-13,24,2787
2013-02-13,26,889
2013-02-13,27,1305
2013-02-13,28,905
2013-02-13,30,756
2013-02-13,32,695
2013-02-13,34,2677
2013-02-13,35,777
